GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Runtime X-Ray: code actually executed,lab.sample,Metrics,0,78,0,0,0,14,0,2,0,2
Runtime X-Ray: code actually executed,lab.sample,Scenarios,0,176,0,4,0,16,0,4,0,2
Runtime X-Ray: code actually executed,lab.sample,Main,40,99,4,6,6,18,4,4,1,2
Runtime X-Ray: code actually executed,lab.sample,RoutePlanner,0,102,0,10,0,19,0,8,0,3
Runtime X-Ray: code actually executed,lab.sample.terrain,Elevation,0,31,0,0,0,4,0,1,0,1
Runtime X-Ray: code actually executed,lab.sample.terrain,Terrain,3,60,2,9,1,14,2,8,0,3
Runtime X-Ray: code actually executed,lab.sample.speed,Speeds,3,31,1,4,1,9,1,5,0,2
Runtime X-Ray: code actually executed,lab.sample.speed,TrainSpeed,2,10,1,1,0,2,1,2,0,2
Runtime X-Ray: code actually executed,lab.sample.speed,BikeSpeed,0,12,0,2,0,2,0,3,0,2
Runtime X-Ray: code actually executed,lab.sample.speed,WalkSpeed,0,5,0,0,0,2,0,2,0,2
Runtime X-Ray: code actually executed,lab.sample.speed,CarSpeed,0,19,0,4,0,4,0,4,0,2
Runtime X-Ray: code actually executed,lab.sample.weather,WeatherPenalty,1,20,1,6,1,4,1,5,0,2
Runtime X-Ray: code actually executed,lab.sample.weather,LuggagePenalty,0,6,0,2,0,1,0,2,0,1
Runtime X-Ray: code actually executed,lab.sample.traffic,RushHourDelay,0,16,0,4,0,3,0,3,0,1
Runtime X-Ray: code actually executed,lab.sample.traffic,Traffic,0,30,0,6,0,6,0,5,0,2
Runtime X-Ray: code actually executed,lab.sample.model,TimeOfDay,0,21,0,0,0,1,0,1,0,1
Runtime X-Ray: code actually executed,lab.sample.model,Mode,0,33,0,0,0,1,0,1,0,1
Runtime X-Ray: code actually executed,lab.sample.model,Trip,21,21,2,0,5,1,2,1,1,1
Runtime X-Ray: code actually executed,lab.sample.model,Leg,0,12,0,0,0,1,0,1,0,1
Runtime X-Ray: code actually executed,lab.sample.model,Weather,0,21,0,0,0,1,0,1,0,1
Runtime X-Ray: code actually executed,lab.sample.transfer,Connections,1,45,1,3,0,6,1,3,0,2
Runtime X-Ray: code actually executed,lab.sample.transfer,Timetable,3,28,0,0,2,5,0,3,0,3
Runtime X-Ray: code actually executed,lab.sample.comfort,Breaks,0,29,0,2,0,5,0,4,0,3
