
 Version: 2.1
 Chunks: 1
 Start: 2026-08-20 17:35:58 (UTC)
 Duration: 2 s

 Event Type                              Count  Size (bytes) 
=============================================================
 jdk.MethodTrace                        588522       9432509
 jdk.NativeLibrary                        1046         92532
 jdk.SystemProcess                         810         80858
 jdk.ModuleExport                          517          5543
 jdk.BooleanFlag                           485         14887
 jdk.ActiveSetting                         376          9791
 jdk.ModuleRequire                         156          1560
 jdk.ObjectAllocationSample                144          2146
 jdk.LongFlag                              138          4433
 jdk.ExecutionSample                       130          1430
 jdk.GCPhaseParallel                       102          2694
 jdk.UnsignedLongFlag                       93          3147
 jdk.InitialEnvironmentVariable             55          3924
 jdk.UnsignedIntFlag                        49          1600
 jdk.InitialSecurityProperty                45          2219
 jdk.TenuringDistribution                   45           462
 jdk.IntFlag                                43          1569
 jdk.StringFlag                             35          1403
 jdk.ThreadAllocationStatistics             25           236
 jdk.Checkpoint                             24         42332
 jdk.DoubleFlag                             16           645
 jdk.InitialSystemProperty                  15           957
 jdk.GCReferenceStatistics                  12           120
 jdk.MetaspaceChunkFreeListSummary          12           216
 jdk.GCPhasePauseLevel1                     11           433
 jdk.GCPhasePauseLevel2                      7           298
 jdk.ClassLoaderStatistics                   6           164
 jdk.CodeCacheStatistics                     6           174
 jdk.ExecuteVMOperation                      6            97
 jdk.G1HeapSummary                           6           134
 jdk.GCHeapMemoryPoolUsage                   6           214
 jdk.GCHeapSummary                           6           228
 jdk.MetaspaceSummary                        6           294
 jdk.PromoteObjectInNewPLAB                  6            96
 jdk.SafepointBegin                          6            80
 jdk.GCCPUTime                               3            39
 jdk.GCPhasePause                            3            67
 jdk.GarbageCollection                       3            63
 jdk.OldObjectSample                         3            95
 jdk.CPULoad                                 2            38
 jdk.ClassLoadingStatistics                  2            20
 jdk.CompilerStatistics                      2            56
 jdk.EvacuationInformation                   2            48
 jdk.ExceptionStatistics                     2            18
 jdk.G1AdaptiveIHOP                          2            76
 jdk.G1BasicIHOP                             2            72
 jdk.G1EvacuationOldStatistics               2            56
 jdk.G1EvacuationYoungStatistics             2            60
 jdk.G1GarbageCollection                     2            24
 jdk.G1MMU                                   2            26
 jdk.GCConfiguration                         2            50
 jdk.GCHeapMemoryUsage                       2            40
 jdk.JavaMonitorStatistics                   2            16
 jdk.JavaThreadStatistics                    2            22
 jdk.PhysicalMemory                          2            36
 jdk.ResidentSetSize                         2            30
 jdk.SwapSpace                               2            34
 jdk.ThreadStart                             2            23
 jdk.YoungGarbageCollection                  2            24
 jdk.ActiveRecording                         1           126
 jdk.CPUInformation                          1           114
 jdk.CPUTimeStampCounter                     1            19
 jdk.CodeCacheConfiguration                  1            42
 jdk.CompilerConfiguration                   1            11
 jdk.Deoptimization                          1            23
 jdk.GCHeapConfiguration                     1            26
 jdk.GCSurvivorConfiguration                 1            10
 jdk.GCTLABConfiguration                     1            12
 jdk.JVMInformation                          1           525
 jdk.Metadata                                1        110515
 jdk.MethodTiming                            1            23
 jdk.NativeMethodSample                      1            11
 jdk.OSInformation                           1           144
 jdk.OldGarbageCollection                    1            12
 jdk.Shutdown                                1            47
 jdk.SystemGC                                1            15
 jdk.ThreadCPULoad                           1            16
 jdk.ThreadEnd                               1             9
 jdk.VirtualizationInformation               1            35
 jdk.YoungGenerationConfiguration            1            17
 jdk.AllocationRequiringGC                   0             0
 jdk.BooleanFlagChanged                      0             0
 jdk.CPUTimeSample                           0             0
 jdk.CPUTimeSamplesLost                      0             0
 jdk.ClassDefine                             0             0
 jdk.ClassLoad                               0             0
 jdk.ClassRedefinition                       0             0
 jdk.ClassUnload                             0             0
 jdk.CodeCacheFull                           0             0
 jdk.Compilation                             0             0
 jdk.CompilationFailure                      0             0
 jdk.CompilerInlining                        0             0
 jdk.CompilerPhase                           0             0
 jdk.CompilerQueueUtilization                0             0
 jdk.ConcurrentModeFailure                   0             0
 jdk.ContainerCPUThrottling                  0             0
 jdk.ContainerCPUUsage                       0             0
 jdk.ContainerConfiguration                  0             0
 jdk.ContainerIOUsage                        0             0
 jdk.ContainerMemoryUsage                    0             0
 jdk.ContinuationFreeze                      0             0
 jdk.ContinuationFreezeFast                  0             0
 jdk.ContinuationFreezeSlow                  0             0
 jdk.ContinuationThaw                        0             0
 jdk.ContinuationThawFast                    0             0
 jdk.ContinuationThawSlow                    0             0
 jdk.DataLoss                                0             0
 jdk.DeprecatedInvocation                    0             0
 jdk.Deserialization                         0             0
 jdk.DirectBufferStatistics                  0             0
 jdk.DoubleFlagChanged                       0             0
 jdk.DumpReason                              0             0
 jdk.EvacuationFailed                        0             0
 jdk.FileForce                               0             0
 jdk.FileRead                                0             0
 jdk.FileWrite                               0             0
 jdk.FinalizerStatistics                     0             0
 jdk.Flush                                   0             0
 jdk.G1HeapRegionInformation                 0             0
 jdk.G1HeapRegionTypeChange                  0             0
 jdk.GCPhaseConcurrent                       0             0
 jdk.GCPhaseConcurrentLevel1                 0             0
 jdk.GCPhaseConcurrentLevel2                 0             0
 jdk.GCPhasePauseLevel3                      0             0
 jdk.GCPhasePauseLevel4                      0             0
 jdk.HeapDump                                0             0
 jdk.IntFlagChanged                          0             0
 jdk.JITRestart                              0             0
 jdk.JavaAgent                               0             0
 jdk.JavaErrorThrow                          0             0
 jdk.JavaExceptionThrow                      0             0
 jdk.JavaMonitorDeflate                      0             0
 jdk.JavaMonitorEnter                        0             0
 jdk.JavaMonitorInflate                      0             0
 jdk.JavaMonitorNotify                       0             0
 jdk.JavaMonitorWait                         0             0
 jdk.LongFlagChanged                         0             0
 jdk.MetaspaceAllocationFailure              0             0
 jdk.MetaspaceGCThreshold                    0             0
 jdk.MetaspaceOOM                            0             0
 jdk.NativeAgent                             0             0
 jdk.NativeLibraryLoad                       0             0
 jdk.NativeLibraryUnload                     0             0
 jdk.NativeMemoryUsage                       0             0
 jdk.NativeMemoryUsageTotal                  0             0
 jdk.NetworkUtilization                      0             0
 jdk.ObjectAllocationInNewTLAB               0             0
 jdk.ObjectAllocationOutsideTLAB             0             0
 jdk.ObjectCount                             0             0
 jdk.ObjectCountAfterGC                      0             0
 jdk.PSHeapSummary                           0             0
 jdk.ParallelOldGarbageCollection            0             0
 jdk.ProcessStart                            0             0
 jdk.PromoteObjectOutsidePLAB                0             0
 jdk.PromotionFailed                         0             0
 jdk.RedefineClasses                         0             0
 jdk.ReservedStackActivation                 0             0
 jdk.RetransformClasses                      0             0
 jdk.SafepointEnd                            0             0
 jdk.SafepointLatency                        0             0
 jdk.SafepointStateSynchronization           0             0
 jdk.SecurityPropertyModification            0             0
 jdk.SecurityProviderService                 0             0
 jdk.SerializationMisdeclaration             0             0
 jdk.ShenandoahEvacuationInformation         0             0
 jdk.ShenandoahHeapRegionInformation         0             0
 jdk.ShenandoahHeapRegionStateChange         0             0
 jdk.SocketRead                              0             0
 jdk.SocketWrite                             0             0
 jdk.StringFlagChanged                       0             0
 jdk.StringTableStatistics                   0             0
 jdk.SymbolTableStatistics                   0             0
 jdk.SyncOnValueBasedClass                   0             0
 jdk.TLSHandshake                            0             0
 jdk.ThreadContextSwitchRate                 0             0
 jdk.ThreadDump                              0             0
 jdk.ThreadPark                              0             0
 jdk.ThreadSleep                             0             0
 jdk.UnsignedIntFlagChanged                  0             0
 jdk.UnsignedLongFlagChanged                 0             0
 jdk.VirtualThreadEnd                        0             0
 jdk.VirtualThreadPinned                     0             0
 jdk.VirtualThreadStart                      0             0
 jdk.VirtualThreadSubmitFailed               0             0
 jdk.X509Certificate                         0             0
 jdk.X509Validation                          0             0
 jdk.ZAllocationStall                        0             0
 jdk.ZOldGarbageCollection                   0             0
 jdk.ZPageAllocation                         0             0
 jdk.ZRelocationSet                          0             0
 jdk.ZRelocationSetGroup                     0             0
 jdk.ZStatisticsCounter                      0             0
 jdk.ZStatisticsSampler                      0             0
 jdk.ZThreadPhase                            0             0
 jdk.ZUncommit                               0             0
