GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Runtime X-Ray,lab.sample.export,CsvExporter,58,0,2,0,8,0,3,0,2,0
Runtime X-Ray,lab.sample.export,ItineraryExporter,78,0,4,0,11,0,4,0,2,0
Runtime X-Ray,org.apache.commons.lang3.reflect,TypeUtils,2471,0,436,0,498,0,280,0,62,0
Runtime X-Ray,org.apache.commons.lang3.reflect,TypeUtils.WildcardTypeBuilder,19,0,0,0,5,0,3,0,3,0
Runtime X-Ray,org.apache.commons.lang3.reflect,TypeUtils.GenericArrayTypeImpl,37,0,6,0,9,0,8,0,5,0
Runtime X-Ray,org.apache.commons.lang3.reflect,TypeUtils.ParameterizedTypeImpl,76,0,6,0,17,0,10,0,7,0
Runtime X-Ray,org.apache.commons.lang3.reflect,TypeUtils.WildcardTypeImpl,63,0,6,0,13,0,9,0,6,0
Runtime X-Ray,org.apache.commons.lang3.reflect,MemberUtils,445,0,84,0,83,0,58,0,16,0
Runtime X-Ray,org.apache.commons.lang3.reflect,FieldUtils,622,0,46,0,135,0,59,0,36,0
Runtime X-Ray,org.apache.commons.lang3.reflect,ConstructorUtils,188,0,24,0,49,0,21,0,9,0
Runtime X-Ray,org.apache.commons.lang3.reflect,MethodUtils,1148,0,142,0,246,0,113,0,42,0
Runtime X-Ray,org.apache.commons.lang3.reflect,MemberUtils.Executable,38,0,0,0,12,0,6,0,6,0
Runtime X-Ray,org.apache.commons.lang3.reflect,TypeLiteral,81,0,4,0,16,0,8,0,6,0
Runtime X-Ray,org.apache.commons.lang3.reflect,InheritanceUtils,42,0,10,0,12,0,7,0,2,0
Runtime X-Ray,lab.sample,RoutePlanner,0,102,0,10,0,19,0,8,0,3
Runtime X-Ray,lab.sample,Main,25,114,1,9,4,20,2,6,1,2
Runtime X-Ray,lab.sample,Metrics,0,78,0,0,0,14,0,2,0,2
Runtime X-Ray,lab.sample,Scenarios,0,176,0,4,0,16,0,4,0,2
Runtime X-Ray,org.apache.commons.lang3.event,EventUtils.EventBindingInvocationHandler,58,0,8,0,11,0,7,0,3,0
Runtime X-Ray,org.apache.commons.lang3.event,EventUtils,74,0,0,0,12,0,3,0,3,0
Runtime X-Ray,org.apache.commons.lang3.event,EventListenerSupport,184,0,6,0,48,0,18,0,15,0
Runtime X-Ray,org.apache.commons.lang3.event,EventListenerSupport.ProxyInvocationHandler,45,0,2,0,14,0,5,0,4,0
Runtime X-Ray,org.apache.commons.lang3.stream,Streams,118,0,12,0,22,0,27,0,21,0
Runtime X-Ray,org.apache.commons.lang3.stream,Streams.FailableStream,94,0,2,0,28,0,13,0,12,0
Runtime X-Ray,org.apache.commons.lang3.stream,Streams.ArrayCollector,37,0,0,0,11,0,9,0,9,0
Runtime X-Ray,org.apache.commons.lang3.stream,LangCollectors.SimpleCollector,33,0,0,0,12,0,6,0,6,0
Runtime X-Ray,org.apache.commons.lang3.stream,LangCollectors,58,0,0,0,6,0,8,0,8,0
Runtime X-Ray,org.apache.commons.lang3.stream,Streams.EnumerationSpliterator,40,0,6,0,9,0,7,0,4,0
Runtime X-Ray,org.apache.commons.lang3.stream,IntStreams,11,0,0,0,4,0,3,0,3,0
Runtime X-Ray,org.apache.commons.lang3.exception,UncheckedInterruptedException,4,0,0,0,2,0,1,0,1,0
Runtime X-Ray,org.apache.commons.lang3.exception,ExceptionUtils,717,0,110,0,166,0,99,0,44,0
Runtime X-Ray,org.apache.commons.lang3.exception,UncheckedIllegalAccessException,4,0,0,0,2,0,1,0,1,0
Runtime X-Ray,org.apache.commons.lang3.exception,ContextedRuntimeException,97,0,2,0,28,0,15,0,14,0
Runtime X-Ray,org.apache.commons.lang3.exception,CloneFailedException,13,0,0,0,6,0,3,0,3,0
Runtime X-Ray,org.apache.commons.lang3.exception,UncheckedException,4,0,0,0,2,0,1,0,1,0
Runtime X-Ray,org.apache.commons.lang3.exception,UncheckedReflectiveOperationException,4,0,0,0,2,0,1,0,1,0
Runtime X-Ray,org.apache.commons.lang3.exception,ContextedException,97,0,2,0,28,0,15,0,14,0
Runtime X-Ray,org.apache.commons.lang3.exception,DefaultExceptionContext,180,0,8,0,37,0,16,0,12,0
Runtime X-Ray,org.apache.commons.lang3.function,FailableIntFunction,7,0,0,0,2,0,3,0,3,0
Runtime X-Ray,org.apache.commons.lang3.function,FailableObjLongConsumer,6,0,0,0,2,0,3,0,3,0
Runtime X-Ray,org.apache.commons.lang3.function,FailableIntConsumer,20,0,0,0,7,0,5,0,5,0
Runtime X-Ray,org.apache.commons.lang3.function,TriConsumer,18,0,0,0,5,0,2,0,2,0
